"station_nbr","date","tmax","tmin","tavg","depart","dewpoint","wetbulb","heat","cool","sunrise","sunset","codesum","snowfall","preciptotal","stnpressure","sealevel","resultspeed","resultdir","avgspeed"
1,"2012-01-01",11.11,-0.56,5.275,3,2.22,4.44,23,0,612.305267487419,1813.81139122008,202,1,6,1008.46654493334,1013.20748906668,5.793624,20,7.402964
2,"2012-01-01",8.89,0.56,4.725,16,2.78,3.89,24,0,716,1626,127,1,8,975.957213733343,1012.86885020001,14.644994,23,18.185542
3,"2012-01-01",12.78,1.11,6.945,9,-4.44,2.22,20,0,735,1720,1,1,1,1008.12790606668,1031.83262673334,15.932466,31,16.0934
4,"2012-01-01",17.22,8.33,12.775,4,-2.22,6.11,10,0,728,1742,1,1,1,1008.80518380001,1032.17126560001,12.87472,35,13.196588
6,"2012-01-01",17.22,1.11,9.165,0,-0.56,6.11,16,0,727,1742,1,1,1,1014.22340566668,1031.83262673334,22.53076,36,22.208892
7,"2012-01-01",10,0.56,5.28,-7,-3.33,1.67,23,0,610.264907988518,1812.670122587,1,1,1,987.132296333343,1034.20309880001,16.576202,32,16.415268
8,"2012-01-01",18.89,7.22,13.055,-11,1.11,7.78,14.2224437365786,5.07555640489307,609.924848072034,1812.47991114815,131,1,1,1017.60979433334,1015.91660000001,17.70274,36,17.541806
9,"2012-01-01",1.11,-7.22,-3.055,-6,-8.33,-5,38,0,609.584788155551,1812.28969970931,445,76,284,993.56643480001,1018.96434980001,36.692952,30,36.21015
10,"2012-01-01",22.78,11.67,17.225,7,12.78,14.44,2,0,723,1738,62,1,1,1021.33482186668,1022.35073846668,8.207634,24,8.85137
11,"2012-01-01",22.22,8.89,15.555,7,12.22,13.33,5,0,724,1737,62,1,1,1020.99618300001,1022.01209960001,7.402964,23,7.724832
12,"2012-01-01",22.22,8.89,15.555,0,12.22,13.89,5,0,608.5646084061,1811.71906539277,62,1,1,1020.99618300001,1022.35073846668,7.081096,25,7.724832
13,"2012-01-01",3.33,-7.78,-2.225,-11,-11.11,-6.11,37,0,608.224548489617,1811.52885395392,1,1,1,833.051612000008,1035.89629313334,4.02335,16,9.816974
14,"2012-01-01",10,1.11,5.555,5,-3.89,1.67,23,0,739,1729,1,1,1,986.45501860001,1033.52582106668,18.346476,32,18.185542
15,"2012-01-01",8.89,-3.33,2.78,16,1.67,3.33,28,0,718,1621,198,1,10,1000.00057326668,1012.19157246668,4.02335,17,6.115492
16,"2012-01-01",10,-1.11,4.445,-7,2.78,4.44,25,0,607.204368740166,1810.95821963738,235,1,284,1009.14382266668,1012.19157246668,6.759228,21,10.943512
17,"2012-01-01",13.33,3.33,8.33,-11,-5,2.78,18,0,606.864308823683,1810.76800819853,1,1,1,1010.15973926668,1032.84854333334,8.690436,32,9.334172
18,"2012-01-01",15,4.44,9.72,4,-2.22,4.44,15,0,730,1732,1,1,1,1015.23932226668,1032.50990446668,14.48406,33,14.323126
19,"2012-01-01",3.33,-3.89,-0.28,10,-3.33,-1.11,33,0,723,1628,240,6,13,984.084546533343,1008.80518380001,23.496364,29,25.105704
20,"2012-01-01",15,5,10,-6,-2.22,4.44,15,0,605.844129074232,1810.197373882,1,1,1,1008.46654493334,1032.17126560001,17.541806,33,17.380872
1,"2012-01-02",10,-0.56,4.72,-8,-3.33,1.67,24,0,612.258208310181,1813.83320484864,1,1,2,996.952823466676,1003.04832306668,15.771532,24,16.576202
2,"2012-01-02",7.78,-2.22,2.78,12,-4.44,0,28,0,716,1627,1,76,2,965.459408866676,1003.04832306668,20.438618,26,21.404222
3,"2012-01-02",7.22,-4.44,1.39,-1,-11.67,-2.22,30,0,735,1721,1,1,1,1012.19157246668,1037.25084860001,12.391918,32,13.196588
4,"2012-01-02",15.56,2.78,9.17,-2,-3.33,3.89,16,0,728,1742,1,1,1,1013.54612793334,1037.58948746668,5.954558,36,7.724832
6,"2012-01-02",15.56,-1.11,7.225,-4,-2.78,3.33,20,0,727,1742,1,1,1,1018.96434980001,1037.25084860001,14.48406,1,14.966862
7,"2012-01-02",6.67,-3.33,1.67,-15,-8.33,-1.67,30,0,610.21784881128,1812.69193621557,1,1,1,989.841407266676,1038.26676520001,9.173238,34,11.104446
8,"2012-01-02",15,2.22,8.61,-8,-1.67,4.44,18.8720296620695,1.76631904579268,609.877788894797,1812.50172477672,1,1,1,1024.38257166668,1023.70529393334,9.977908,36,10.782578
9,"2012-01-02",-6.11,-11.67,-8.89,-21,-13.33,-9.44,49,0,609.537728978313,1812.31151333787,303,76,284,1004.74151740001,1030.81671013334,23.174496,32,23.657298
10,"2012-01-02",18.33,7.22,12.775,-8,0.56,7.78,10,0,723,1738,1,1,1,1019.64162753334,1020.65754413334,16.415268,30,18.024608
11,"2012-01-02",17.22,4.44,10.83,-1,-0.56,6.67,13,0,724,1738,1,1,1,1019.30298866668,1020.65754413334,16.415268,29,17.863674
12,"2012-01-02",18.33,8.33,13.33,-5,0.56,7.78,9,0,608.517549228863,1811.74087902133,1,1,1,1018.96434980001,1020.65754413334,18.829278,30,20.438618
13,"2012-01-02",10,-8.89,0.555,-8,-8.33,-2.22,32,0,608.177489312379,1811.55066758249,1,1,1,831.358417666675,1034.20309880001,9.816974,16,10.943512
14,"2012-01-02",7.22,-3.33,1.945,-1,-8.89,-1.67,29,0,739,1729,1,1,1,989.164129533343,1037.92812633334,10.138842,35,11.909116
15,"2012-01-02",6.11,-1.67,2.22,15,-4.44,0,29,0,718,1622,8,1,3,988.825490666676,1001.69376760001,11.426314,24,13.035654
16,"2012-01-02",10,-1.11,4.445,-2,-3.33,1.67,25,0,607.157309562929,1810.98003326595,127,1,2,998.307378933343,1002.03240646668,15.449664,27,17.541806
17,"2012-01-02",7.22,-5.56,0.83,-10,-12.22,-2.22,31,0,606.817249646445,1810.7898218271,1,1,1,1014.56204453334,1038.26676520001,5.954558,33,7.724832
18,"2012-01-02",11.67,1.67,6.67,-2,-5,2.22,21,0,730,1733,1,1,1,1019.64162753334,1037.25084860001,10.782578,35,11.104446
19,"2012-01-02",-3.89,-9.44,-6.665,-2,-12.78,-8.33,45,0,723,1629,267,76,284,997.968740066676,1022.68937733334,28.646252,31,29.129054
20,"2012-01-02",11.67,0.56,6.115,-10,-6.11,1.67,22,0,605.797069896995,1810.21918751056,1,1,1,1012.53021133334,1036.91220973334,12.713786,34,13.840324
1,"2012-01-03",0,-11.67,-5.835,-3,-15.56,-7.78,43,0,612.211149132944,1813.85501847721,1,1,1,1004.74151740001,1011.51429473334,17.380872,31,18.668344
2,"2012-01-03",-2.22,-12.78,-7.5,-6,-15.56,-8.89,46,0,716,1628,1,1,1,971.554908466676,1010.83701700001,19.794882,31,20.599552
3,"2012-01-03",12.78,-6.11,3.335,2,-7.22,0,27,0,735,1721,1,1,1,1000.67785100001,1027.43032146668,18.668344,17,18.990212
4,"2012-01-03",16.67,-0.56,8.055,-4,-3.33,3.89,18,0,728,1743,1,1,1,1005.75743400001,1032.17126560001,4.988954,17,6.759228
