"station_nbr","date","tmax","tmin","tavg","depart","dewpoint","wetbulb","heat","cool","sunrise","sunset","codesum","snowfall","preciptotal","stnpressure","sealevel","resultspeed","resultdir","avgspeed"
1,2012-01-01,11,-1,5,NA,2,4,23,0,612,1813,"RA FZFG BR",NA,6,29.78,29.92,6.6672,20,8.5192
2,2012-01-01,8,0,4,16,2,3,24,0,716,1626,"RA",1,8,28.82,29.91,16.8532,23,20.9276
3,2012-01-01,12,1,6,9,-5,2,20,0,735,1720," ",1,1,29.77,30.47,18.3348,31,18.52
4,2012-01-01,17,8,12,4,-3,6,10,0,728,1742," ",1,1,29.79,30.48,14.816,35,15.1864
6,2012-01-01,17,1,9,0,-1,6,16,0,727,1742," ",1,1,29.95,30.47,25.928,36,25.5576
7,2012-01-01,10,0,5,NA,-4,1,23,0,610,1812," ",1,1,29.15,30.54,19.0756,32,18.8904
8,2012-01-01,18,7,12,NA,1,7,14,5,609,1812,"RA BR",NA,1,30.05,NA,20.372,36,20.1868
9,2012-01-01,1,-8,-4,NA,-9,-5,38,0,609,1812,"UP",NA,284,29.34,30.09,42.2256,30,41.67
10,2012-01-01,22,11,16,NA,12,14,2,0,723,1738,"FG+ FG BR",NA,1,30.16,30.19,9.4452,24,10.186
11,2012-01-01,22,8,15,7,12,13,5,0,724,1737,"FG+ FG BR",1,1,30.15,30.18,8.5192,23,8.8896
12,2012-01-01,22,8,15,NA,12,13,5,0,608,1811,"FG+ FG BR",1,1,30.15,30.19,8.1488,25,8.8896
13,2012-01-01,3,-8,-3,NA,-12,-7,37,0,608,1811," ",NA,1,24.6,30.59,4.63,16,11.2972
14,2012-01-01,10,1,5,5,-4,1,23,0,739,1729," ",1,1,29.13,30.52,21.1128,32,20.9276
15,2012-01-01,8,-4,2,16,1,3,28,0,718,1621,"RA FG+ FZFG BR",1,10,29.53,29.89,4.63,17,7.0376
16,2012-01-01,10,-2,4,NA,2,4,25,0,607,1810,"RA MIFG BR",NA,284,29.8,29.89,7.7784,21,12.5936
17,2012-01-01,13,3,8,NA,-5,2,18,0,606,1810," ",1,1,29.83,30.5,10.0008,32,10.7416
18,2012-01-01,15,4,9,4,-3,4,15,0,730,1732," ",1,1,29.98,30.49,16.668,33,16.4828
19,2012-01-01,3,-4,-1,10,-4,-2,33,0,723,1628,"RA SN BR",6,13,29.06,29.79,27.0392,29,28.8912
20,2012-01-01,15,5,10,NA,-3,4,15,0,605,1810," ",1,1,29.78,30.48,20.1868,33,20.0016
1,2012-01-02,10,-1,4,NA,-4,1,24,0,612,1813," ",NA,2,29.44,29.62,18.1496,24,19.0756
2,2012-01-02,7,-3,2,12,-5,0,28,0,716,1627," ",76,2,28.51,29.62,23.5204,26,24.6316
3,2012-01-02,7,-5,1,-1,-12,-3,30,0,735,1721," ",1,1,29.89,30.63,14.2604,32,15.1864
4,2012-01-02,15,2,8,-2,-4,3,16,0,728,1742," ",1,1,29.93,30.64,6.8524,36,8.8896
6,2012-01-02,15,-2,6,-4,-3,3,20,0,727,1742," ",1,1,30.09,30.63,16.668,1,17.2236
7,2012-01-02,6,-4,1,NA,-9,-2,30,0,610,1812," ",1,1,29.23,30.66,10.5564,34,12.7788
8,2012-01-02,15,2,8,NA,-2,4,18,1,609,1812," ",NA,1,30.25,NA,11.4824,36,12.4084
9,2012-01-02,-7,-12,-10,NA,-14,-10,49,0,609,1812,"SN UP",NA,284,29.67,30.44,26.6688,32,27.2244
10,2012-01-02,18,7,12,NA,0,7,10,0,723,1738," ",NA,1,30.11,30.14,18.8904,30,20.7424
11,2012-01-02,17,4,10,-1,-1,6,13,0,724,1738," ",1,1,30.1,30.14,18.8904,29,20.5572
12,2012-01-02,18,8,13,NA,0,7,9,0,608,1811," ",1,1,30.09,30.14,21.6684,30,23.5204
13,2012-01-02,10,-9,0,NA,-9,-3,32,0,608,1811," ",NA,1,24.55,30.54,11.2972,16,12.5936
14,2012-01-02,7,-4,1,-1,-9,-2,29,0,739,1729," ",1,1,29.21,30.65,11.6676,35,13.7048
15,2012-01-02,6,-2,2,15,-5,0,29,0,718,1622,"BR",1,3,29.2,29.58,13.1492,24,15.0012
16,2012-01-02,10,-2,4,NA,-4,1,25,0,607,1810,"RA",NA,2,29.48,29.59,17.7792,27,20.1868
17,2012-01-02,7,-6,0,NA,-13,-3,31,0,606,1810," ",1,1,29.96,30.66,6.8524,33,8.8896
18,2012-01-02,11,1,6,-2,-5,2,21,0,730,1733," ",1,1,30.11,30.63,12.4084,35,12.7788
19,2012-01-02,-4,-10,-7,-2,-13,-9,45,0,723,1629,"SN",76,284,29.47,30.2,32.9656,31,33.5212
20,2012-01-02,11,0,5,NA,-7,1,22,0,605,1810," ",1,1,29.9,30.62,14.6308,34,15.9272
1,2012-01-03,0,-12,-6,NA,-16,-8,43,0,612,1813," ",NA,1,29.67,29.87,20.0016,31,21.4832
2,2012-01-03,-3,-13,-8,-6,-16,-9,46,0,716,1628," ",1,1,28.69,29.85,22.7796,31,23.7056
3,2012-01-03,12,-7,2,2,-8,0,27,0,735,1721," ",1,1,29.55,30.34,21.4832,17,21.8536
4,2012-01-03,16,-1,7,-4,-4,3,18,0,728,1743," ",1,1,29.7,30.48,5.7412,17,7.7784
6,2012-01-03,16,-4,6,-5,-4,2,21,0,727,1743," ",1,1,29.88,30.48,10.0008,18,10.7416
7,2012-01-03,15,-3,6,NA,-6,1,21,0,610,1812," ",1,1,28.84,30.3,29.0764,19,29.4468
8,2012-01-03,16,-2,7,NA,-3,3,18,-1,609,1812," ",NA,1,30.12,NA,7.2228,16,7.2228
9,2012-01-03,-3,-13,-8,NA,-12,-8,46,0,609,1812," ",NA,1,29.26,30.12,16.4828,16,17.0384
10,2012-01-03,8,1,4,NA,-12,-1,24,0,723,1739," ",NA,1,30.27,30.33,21.8536,31,22.4092
11,2012-01-03,6,-4,1,-18,-12,-3,30,0,724,1738," ",1,1,30.26,30.33,17.2236,31,17.9644
12,2012-01-03,8,1,4,NA,-12,-2,24,0,608,1811," ",1,1,30.25,30.33,23.8908,32,24.4464
13,2012-01-03,12,-1,5,NA,-9,0,22,0,608,1811," ",NA,1,24.4,30.23,5.3708,21,11.6676
14,2012-01-03,15,-5,5,5,-5,0,23,0,740,1730," ",1,1,28.84,30.3,22.9648,18,23.5204
15,2012-01-03,-2,-15,-9,-3,-17,-10,47,0,718,1623," ",1,1,29.44,29.87,24.2612,31,25.3724
16,2012-01-03,0,-12,-6,NA,-15,-8,43,0,607,1811," ",NA,1,29.7,29.84,18.8904,31,20.1868
17,2012-01-03,12,-8,2,NA,-8,-1,28,0,606,1810," ",1,1,29.61,30.36,12.7788,18,12.964
18,2012-01-03,15,-2,6,0,-4,2,20,0,730,1734," ",1,1,29.84,30.41,16.2976,17,16.8532
19,2012-01-03,-4,-13,-9,-3,-15,-10,47,0,723,1630," ",1,1,29.43,30.26,10.186,23,17.0384
20,2012-01-03,15,-2,6,NA,-5,2,20,0,605,1810," ",1,1,29.63,30.41,14.6308,17,15.742
1,2012-01-04,-3,-13,-8,NA,-19,-10,46,0,612,1813," ",NA,1,29.86,30.03,11.6676,27,15.3716
2,2012-01-04,-7,-15,-11,-11,-18,-12,52,0,716,1629," ",1,1,28.87,30.01,18.7052,27,21.6684
3,2012-01-04,17,-1,8,11,-4,2,18,0,735,1722," ",1,1,29.53,30.27,4.63,31,9.0748
4,2012-01-04,22,5,13,6,3,8,8,0,728,1744," ",1,1,29.55,30.28,2.4076,35,4.0744
6,2012-01-04,21,-1,10,2,5,7,14,0,728,1744,"BR",1,1,29.72,30.28,1.4816,22,8.7044
7,2012-01-04,14,0,7,NA,-3,2,20,0,610,1812," ",1,1,28.9,30.31,9.26,33,13.7048
8,2012-01-04,22,2,12,NA,7,9,10,0,609,1812," ",NA,1,29.9,NA,2.5928,24,4.8152
9,2012-01-04,3,-7,-2,NA,-6,-4,35,0,609,1812,"BR",NA,1,29.26,30.06,5.1856,28,9.6304
10,2012-01-04,11,0,5,NA,-9,0,22,0,724,1740," ",NA,1,30.35,30.38,5.556,29,10.7416
11,2012-01-04,12,-6,3,-15,-10,-2,27,0,724,1739," ",1,1,30.34,30.37,4.2596,27,5.7412
12,2012-01-04,11,-1,5,NA,-9,0,23,0,608,1811," ",1,1,30.34,30.38,5.0004,32,7.7784
13,2012-01-04,14,-3,5,NA,-9,0,22,0,608,1811," ",NA,1,24.49,30.36,10.186,19,11.2972
14,2012-01-04,14,0,7,9,-3,2,20,0,740,1731," ",1,1,28.89,30.29,11.2972,34,14.0752
15,2012-01-04,-5,-17,-11,-8,-19,-12,52,0,718,1624," ",1,1,29.63,30.02,9.4452,30,11.8528
16,2012-01-04,-3,-14,-9,NA,-19,-10,47,0,607,1811," ",NA,1,29.9,30,14.6308,28,18.3348
17,2012-01-04,17,-3,7,NA,-4,2,19,0,606,1810,"RA",1,284,29.59,30.29,3.8892,36,6.1116
18,2012-01-04,16,2,9,5,0,5,15,0,730,1734," ",1,1,29.75,30.28,1.4816,15,10.186
19,2012-01-04,1,-5,-2,8,-9,-4,36,0,723,1631," ",1,1,29.21,30,14.6308,27,17.9644
20,2012-01-04,16,3,9,NA,0,5,15,0,605,1810," ",1,1,29.54,30.27,2.0372,32,9.0748
1,2012-01-05,3,-4,-1,NA,-11,-4,33,0,612,1813," ",NA,1,29.67,29.84,12.7788,25,14.4456
2,2012-01-05,-1,-7,-4,2,-12,-7,39,0,716,1630," ",1,1,28.7,29.84,20.1868,26,20.9276
3,2012-01-05,20,-1,9,14,-3,5,15,0,735,1723," ",1,1,29.35,30.11,13.5196,19,14.0752
4,2012-01-05,21,6,13,6,5,9,8,0,728,1745," ",1,1,29.51,30.24,0.7408,31,3.3336
6,2012-01-05,21,3,12,6,6,10,10,0,728,1745," ",1,1,29.68,30.24,0.5556,25,4.2596
7,2012-01-05,18,-3,7,NA,-2,4,18,0,610,1812," ",1,1,28.71,30.13,22.5944,20,22.9648
8,2012-01-05,21,7,14,NA,7,11,10,3,609,1812," ",NA,1,29.87,NA,1.6668,33,1.852
9,2012-01-05,7,-7,0,NA,-3,0,31,0,609,1812,"BR",1,1,28.95,29.73,1.6668,17,3.8892
10,2012-01-05,20,2,11,NA,2,7,13,0,724,1740," ",NA,1,30.2,30.21,14.816,27,15.3716
11,2012-01-05,20,-1,9,-3,1,5,15,0,724,1740," ",1,1,NA,30.21,12.2232,27,NA
12,2012-01-05,20,0,10,NA,3,6,15,0,608,1811," ",1,1,30.18,30.22,9.26,28,10.186
13,2012-01-05,18,1,9,NA,-7,2,14,0,608,1811," ",NA,1,24.26,30.04,7.7784,21,9.26
14,2012-01-05,19,-2,8,12,-3,3,17,0,740,1732," ",1,1,28.71,30.14,18.1496,21,19.0756
15,2012-01-05,2,-9,-4,6,-11,-6,38,0,718,1625," ",1,1,29.42,29.82,6.482,29,10.7416
16,2012-01-05,3,-5,-1,NA,-11,-4,34,0,607,1811," ",NA,1,29.7,29.82,12.7788,27,15.0012
17,2012-01-05,20,-4,8,NA,-4,3,18,0,606,1810," ",1,1,29.42,30.14,7.9636,20,8.1488
