"station_nbr","date","tmax","tmin","tavg","depart","dewpoint","wetbulb","heat","cool","sunrise","sunset","codesum","snowfall","preciptotal","stnpressure","sealevel","resultspeed","resultdir","avgspeed"
1,2012-01-01,"52","31","42","M","36","40","23"," 0",612.305267487419,1813.81139122008,"RA FZFG BR","M","0.05","29.78","29.92"," 3.6","20","4.6"
2,2012-01-01,"48","33","41","16","37","39","24"," 0",716,1626,"RA","0.0","0.07","28.82","29.91"," 9.1","23","11.3"
3,2012-01-01,"55","34","45"," 9","24","36","20"," 0",735,1720," ","0.0","0.00","29.77","30.47"," 9.9","31","10.0"
4,2012-01-01,"63","47","55"," 4","28","43","10"," 0",728,1742," ","0.0","0.00","29.79","30.48"," 8.0","35","8.2"
6,2012-01-01,"63","34","49"," 0","31","43","16"," 0",727,1742," ","0.0","0.00","29.95","30.47","14.0","36","13.8"
7,2012-01-01,"50","33","42","M","26","35","23"," 0",610.264907988518,1812.670122587," ","0.0","0.00","29.15","30.54","10.3","32","10.2"
8,2012-01-01,"66","45","M","M","34","46","M","M",609.924848072034,1812.47991114815,"RA BR","M","0.00","30.05","M","11.0","36","10.9"
9,2012-01-01,"34","19","27","M","17","23","38"," 0",609.584788155551,1812.28969970931,"UP","M","  T","29.34","30.09","22.8","30","22.5"
10,2012-01-01,"73","53","63","M","55","58","2"," 0",723,1738,"FG+ FG BR","M","0.00","30.16","30.19"," 5.1","24","5.5"
11,2012-01-01,"72","48","60"," 7","54","56","5"," 0",724,1737,"FG+ FG BR","0.0","0.00","30.15","30.18"," 4.6","23","4.8"
12,2012-01-01,"72","48","60","M","54","57","5"," 0",608.5646084061,1811.71906539277,"FG+ FG BR","0.0","0.00","30.15","30.19"," 4.4","25","4.8"
13,2012-01-01,"38","18","28","M","12","21","37"," 0",608.224548489617,1811.52885395392," ","M","0.00","24.60","30.59"," 2.5","16","6.1"
14,2012-01-01,"50","34","42"," 5","25","35","23"," 0",739,1729," ","0.0","0.00","29.13","30.52","11.4","32","11.3"
15,2012-01-01,"48","26","37","16","35","38","28"," 0",718,1621,"RA FG+ FZFG BR","0.0","0.09","29.53","29.89"," 2.5","17","3.8"
16,2012-01-01,"50","30","40","M","37","40","25"," 0",607.204368740166,1810.95821963738,"RA MIFG BR","M","  T","29.80","29.89"," 4.2","21","6.8"
17,2012-01-01,"56","38","47","M","23","37","18"," 0",606.864308823683,1810.76800819853," ","0.0","0.00","29.83","30.50"," 5.4","32","5.8"
18,2012-01-01,"59","40","50"," 4","28","40","15"," 0",730,1732," ","0.0","0.00","29.98","30.49"," 9.0","33","8.9"
19,2012-01-01,"38","25","32","10","26","30","33"," 0",723,1628,"RA SN BR","0.5","0.12","29.06","29.79","14.6","29","15.6"
20,2012-01-01,"59","41","50","M","28","40","15"," 0",605.844129074232,1810.197373882," ","0.0","0.00","29.78","30.48","10.9","33","10.8"
1,2012-01-02,"50","31","41","M","26","35","24"," 0",612.258208310181,1813.83320484864," ","M","0.01","29.44","29.62"," 9.8","24","10.3"
2,2012-01-02,"46","28","37","12","24","32","28"," 0",716,1627," ","  T","0.01","28.51","29.62","12.7","26","13.3"
3,2012-01-02,"45","24","35","-1","11","28","30"," 0",735,1721," ","0.0","0.00","29.89","30.63"," 7.7","32","8.2"
4,2012-01-02,"60","37","49","-2","26","39","16"," 0",728,1742," ","0.0","0.00","29.93","30.64"," 3.7","36","4.8"
6,2012-01-02,"60","30","45","-4","27","38","20"," 0",727,1742," ","0.0","0.00","30.09","30.63"," 9.0","01","9.3"
7,2012-01-02,"44","26","35","M","17","29","30"," 0",610.21784881128,1812.69193621557," ","0.0","0.00","29.23","30.66"," 5.7","34","6.9"
8,2012-01-02,"59","36","M","M","29","40","M","M",609.877788894797,1812.50172477672," ","M","0.00","30.25","M"," 6.2","36","6.7"
9,2012-01-02,"21","11","16","M","8","15","49"," 0",609.537728978313,1812.31151333787,"SN UP","M","  T","29.67","30.44","14.4","32","14.7"
10,2012-01-02,"65","45","55","M","33","46","10"," 0",723,1738," ","M","0.00","30.11","30.14","10.2","30","11.2"
11,2012-01-02,"63","40","52","-1","31","44","13"," 0",724,1738," ","0.0","0.00","30.10","30.14","10.2","29","11.1"
12,2012-01-02,"65","47","56","M","33","46","9"," 0",608.517549228863,1811.74087902133," ","0.0","0.00","30.09","30.14","11.7","30","12.7"
13,2012-01-02,"50","16","33","M","17","28","32"," 0",608.177489312379,1811.55066758249," ","M","0.00","24.55","30.54"," 6.1","16","6.8"
14,2012-01-02,"45","26","36","-1","16","29","29"," 0",739,1729," ","0.0","0.00","29.21","30.65"," 6.3","35","7.4"
15,2012-01-02,"43","29","36","15","24","32","29"," 0",718,1622,"BR","0.0","0.02","29.20","29.58"," 7.1","24","8.1"
16,2012-01-02,"50","30","40","M","26","35","25"," 0",607.157309562929,1810.98003326595,"RA","M","0.01","29.48","29.59"," 9.6","27","10.9"
17,2012-01-02,"45","22","34","M","10","28","31"," 0",606.817249646445,1810.7898218271," ","0.0","0.00","29.96","30.66"," 3.7","33","4.8"
18,2012-01-02,"53","35","44","-2","23","36","21"," 0",730,1733," ","0.0","0.00","30.11","30.63"," 6.7","35","6.9"
19,2012-01-02,"25","15","20","-2","9","17","45"," 0",723,1629,"SN","  T","  T","29.47","30.20","17.8","31","18.1"
20,2012-01-02,"53","33","43","M","21","35","22"," 0",605.797069896995,1810.21918751056," ","0.0","0.00","29.90","30.62"," 7.9","34","8.6"
